year,word,frequency
1700,ALL_ANIMAL_WORDS,2255.526198
1700,aardonyx,0.0
1700,aardvark,0.0
1700,aardwolf,0.0
1700,aasvogel,0.0
1700,ababil,0.0
1700,abalone,0.0
1700,abelisaurus,0.0
1700,aberdevine,0.0
1700,abingdonii,0.0
1700,abrictosaurus,0.0
1700,abrocome,0.0
1700,abyssinian,0.058907
1700,abyssothyris,0.0
1700,acanthocephalan,0.0
1700,acanthopholis,0.0
1700,acari,0.0
1700,acarid,0.0
1700,acarine,0.0
1700,acarus,0.0
1700,accentor,0.0
1700,achelousaurus,0.0
1700,achillobator,0.0
1700,acipenser,0.0
1700,acornshell,0.0
1700,acrita,0.0
1700,acrocanthosaurus,0.0
1700,acrodont,0.0
1700,actinia,0.0
1700,adasaurus,0.0
1700,addax,0.0
1700,adder,1.480594
1700,adelgid,0.0
1700,adetomyrma,0.0
1700,adjutant,2.072492
1700,admiral,34.379237
1700,adzebill,0.0
1700,aegyptosaurus,0.0
1700,aenigmamus,0.0
1700,aeolosaurus,0.0
1700,aepyornis,0.0
1700,aerosteon,0.0
1700,affenpinscher,0.0
1700,afropavo,0.0
1700,afrovenator,0.0
1700,agama,0.025586
1700,agamid,0.0
1700,agathaumas,0.0
1700,agilisaurus,0.0
1700,agouti,0.0
1700,agropelter,0.0
1700,agua,0.033428
1700,agustinia,0.0
1700,ahuizotl,0.0
1700,aidi,0.0
1700,ailurus,0.0
1700,ainu,0.025668
1700,akbash,0.0
1700,akekee,0.0
1700,akialoa,0.0
1700,akiapolaau,0.0
1700,akikiki,0.0
1700,akita,0.001829
1700,akohekohe,0.0
1700,alabai,0.0
1700,alala,0.000736
1700,alamosaurus,0.0
1700,alauahio,0.0
1700,albacore,0.0
1700,albatross,0.0
1700,albertaceratops,0.0
1700,albertosaurus,0.0
1700,alcatras,0.0
1700,alcedo,0.001829
1700,alderfly,0.0
1700,alectrosaurus,0.0
1700,aletopelta,0.0
1700,alewife,0.102343
1700,alicanto,0.0
1700,alioramus,0.0
1700,allantois,0.144039
1700,alligator,1.086711
1700,alligatorfish,0.0
1700,allocamelus,0.0
1700,allosaurus,0.0
1700,almiqui,0.0
1700,alpaca,0.0
1700,alsatian,0.034507
1700,altirhinus,0.0
1700,altirostre,0.0
1700,alula,0.001829
1700,alvarezsaurus,0.0
1700,alwalkeria,0.0
1700,alxasaurus,0.0
1700,amargasaurus,0.0
1700,amarok,0.0
1700,amaui,0.0
1700,amazon,1.545569
1700,amberfish,0.0
1700,amberjack,0.0
1700,ambersnail,0.0
1700,amblypygid,0.0
1700,ambulacrum,0.0
1700,ambystomid,0.0
1700,amistadensis,0.0
1700,ammonite,4.931049
1700,ammosaurus,0.0
1700,amnion,0.015853
1700,amniote,0.0
1700,amoeba,0.0
1700,ampelosaurus,0.0
1700,amphibia,0.072136
1700,amphibian,0.0
1700,amphicoelias,0.0
1700,amphipod,0.0
1700,amphisbaenian,0.0
1700,amphiuma,0.0
1700,amurosaurus,0.0
1700,amygdalodon,0.0
1700,anableps,0.0
1700,anaconda,0.0
1700,anapsid,0.0
1700,anaspid,0.0
1700,anatosaurus,0.0
1700,anatotitan,0.0
1700,anchiceratops,0.0
1700,anchiornis,0.0
1700,anchisaurus,0.0
1700,anchoveta,0.0
1700,anchovy,0.088484
1700,andesaurus,0.0
1700,andrewsarchus,0.0
1700,anemone,1.034261
1700,anemonefish,0.0
1700,angaturama,0.0
1700,angelfish,0.0
1700,angelshark,0.0
1700,anglefish,0.0
1700,anglerfish,0.0
1700,anglewing,0.0
1700,angue,0.035243
1700,anguiped,0.0
1700,angwantibo,0.0
1700,anhinga,0.0
1700,anhuma,0.0
1700,ani,2.381375
1700,animal,59.216432
1700,animalcule,0.198466
1700,animantarx,0.0
1700,anis,0.093641
1700,ankylosaurus,0.0
1700,annelid,0.0
1700,anoa,0.015453
1700,anodontosaurus,0.0
1700,anole,0.0
1700,anomalocaris,0.0
1700,anomalops,0.0
1700,anomalopteryx,0.0
1700,anopheline,0.0
1700,anoplolepis,0.0
1700,anqa,0.0
1700,anserimimus,0.0
1700,ant,22.797206
1700,antarcticum,0.0
1700,antarctosaurus,0.0
1700,antbear,0.007314
1700,antbird,0.0
1700,anteater,0.0
1700,antechinus,0.0
1700,antelope,0.366226
1700,antenna,0.001472
1700,anteosaurus,0.0
1700,antetonitrus,0.0
1700,anthozoan,0.0
1700,anthropoid,0.0
1700,antlion,0.0
1700,antpitta,0.0
1700,antwren,0.0
1700,anuran,0.0
1700,anzu,0.0
1700,aoudad,0.0
1700,apaporiensis,0.0
1700,apar,0.030849
1700,apatosaurus,0.0
1700,ape,4.633501
1700,aperea,0.0
1700,aphid,0.0
1700,aplysia,0.0
1700,apolemia,0.0
1700,appalachiosaurus,0.0
1700,appaloosa,0.0
1700,appendicularia,0.0
1700,aptenodytes,0.0
1700,aquafauna,0.0
1700,arachnid,0.0
1700,aragosaurus,0.0
1700,aralensis,0.0
1700,aralosaurus,0.0
1700,arambourgiania,0.0
1700,arapaima,0.0
1700,arcanine,0.0
1700,archaeoceratops,0.0
1700,archaeoindris,0.0
1700,archaeopteryx,0.0
1700,archaeornis,0.0
1700,archaeornithomimus,0.0
1700,archaeotherium,0.0
1700,archagosaurus,0.0
